time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,NaN,NaN,NaN,0.147846,-0.059417,-0.236538
0.020000,0.285063,0.235758,-0.052394,0.147650,-0.059556,-0.236507
0.040000,0.285021,0.235648,-0.052509,0.147562,-0.059659,-0.236535
0.060000,0.284919,0.235526,-0.052658,0.147319,-0.059867,-0.236521
0.080000,0.284954,0.235430,-0.052885,0.147110,-0.060044,-0.236524
0.100000,0.284934,0.235429,-0.053049,0.146891,-0.060137,-0.236500
0.120000,0.284894,0.235528,-0.053067,0.146819,-0.060188,-0.236520
0.140000,0.284858,0.235625,-0.053052,NaN,NaN,NaN
0.160000,0.284880,0.235694,-0.052757,0.146982,-0.060205,-0.236648
0.180000,0.284981,0.235795,-0.052626,0.146998,-0.060308,-0.236788
0.200000,0.285184,0.236010,-0.052472,0.146951,-0.060442,-0.237037
0.220000,0.285504,0.236224,-0.052268,0.146938,-0.060528,-0.237176
0.240000,NaN,NaN,NaN,0.147069,-0.060615,-0.237299
0.260000,0.286182,0.236335,-0.051681,0.147122,-0.060824,-0.237372
0.280000,NaN,NaN,NaN,0.147239,-0.061125,-0.237502
0.300000,0.287206,0.236177,-0.051023,0.147292,-0.061515,-0.237576
0.320000,0.287572,0.236200,-0.050663,0.147405,-0.061781,-0.237673
0.340000,0.287883,0.236060,-0.050468,0.147264,-0.062174,-0.237670
0.360000,0.288167,0.235966,-0.050206,0.147156,-0.062561,-0.237682
0.380000,0.288373,0.235822,-0.049981,0.146919,-0.062893,-0.237612
0.400000,NaN,NaN,NaN,0.146821,-0.063217,-0.237586
0.420000,0.288582,0.235834,-0.049417,0.146624,-0.063496,-0.237509
0.440000,NaN,NaN,NaN,NaN,NaN,NaN
0.460000,0.288569,0.236201,-0.048637,0.146512,-0.063832,-0.237359
0.480000,0.288486,0.236534,-0.048165,0.146500,-0.063859,-0.237317
0.500000,0.288421,0.236806,-0.047844,0.146538,-0.063887,-0.237335
0.520000,0.288331,0.237090,-0.047666,0.146487,-0.063953,-0.237276
0.540000,0.288200,0.237311,-0.047520,0.146592,-0.064051,-0.237243
0.560000,0.288095,0.237490,-0.047423,0.146605,-0.064208,-0.237219
0.580000,0.287932,0.237577,-0.047317,0.146673,-0.064419,-0.237288
0.600000,0.287822,0.237687,-0.047302,0.146580,-0.064635,-0.237363
0.620000,0.287707,0.237787,-0.047302,0.146574,-0.064850,-0.237488
0.640000,0.287632,0.237989,-0.047372,0.146448,-0.065050,-0.237564
0.660000,0.287682,0.238127,-0.047384,0.146389,-0.065160,-0.237677
0.680000,NaN,NaN,NaN,0.146251,-0.065245,-0.237777
0.700000,0.287842,0.238254,-0.047381,0.146207,-0.065357,-0.237940
0.720000,NaN,NaN,NaN,0.146040,-0.065633,-0.238056
0.740000,0.288129,0.238315,-0.047691,0.145999,-0.065950,-0.238164
0.760000,NaN,NaN,NaN,0.145990,-0.066300,-0.238229
0.780000,0.288280,0.238370,-0.047983,0.145964,-0.066567,-0.238292
