time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,0.224417,0.316998,0.005098,0.239661,-0.344347,0.066262
0.020000,0.223775,0.317018,0.005594,0.239876,-0.344243,0.065972
0.040000,0.222830,0.317058,0.005537,0.239783,-0.344125,0.065712
0.060000,0.221881,0.317207,0.005893,0.239368,-0.344036,0.065080
0.080000,0.221001,0.317369,0.006747,0.238412,-0.344163,0.063792
0.100000,0.219820,0.317510,0.007955,0.237549,-0.344267,0.062371
0.120000,0.218798,0.317217,0.010032,0.236063,-0.344754,0.060433
0.140000,0.218453,0.316978,0.011963,0.234424,-0.345183,0.058766
0.160000,0.218465,0.316816,0.012617,0.233336,-0.345370,0.058208
0.180000,0.218541,0.316862,0.012350,0.233112,-0.345321,0.057754
0.200000,0.217867,0.316929,0.011209,0.233077,-0.345264,0.057253
0.220000,0.216481,0.316994,0.009029,0.232356,-0.345216,0.056943
0.240000,0.214678,0.317209,0.006246,0.230953,-0.345121,0.055970
0.260000,0.213148,0.317197,0.003529,0.228801,-0.345162,0.054582
0.280000,0.212130,0.317220,0.001256,0.226907,-0.345203,0.053023
0.300000,0.211553,0.317132,0.000258,0.225808,-0.345238,0.052783
0.320000,0.210344,0.316887,0.001081,0.225524,-0.345368,0.053275
0.340000,0.209466,0.316261,0.002997,0.225142,-0.345608,0.053971
0.360000,0.208953,0.315818,0.005864,0.224056,-0.345839,0.054484
0.380000,0.208969,0.315795,0.010551,0.223035,-0.346034,0.055134
0.400000,0.208497,0.315978,0.016634,0.222515,-0.346112,0.055910
0.420000,0.207149,0.315919,0.023258,0.222804,-0.346226,0.056490
0.440000,0.205650,0.315688,0.028727,0.224100,-0.346169,0.057395
0.460000,0.205042,0.315278,0.031982,0.225948,-0.346002,0.059302
0.480000,0.206053,0.314814,0.033206,0.227961,-0.345799,0.061792
0.500000,0.208522,0.314737,0.032459,0.230601,-0.345319,0.064553
0.520000,0.214370,0.314375,0.030935,0.233285,-0.345169,0.066873
0.540000,0.220810,0.314035,0.029128,0.236211,-0.344893,0.068942
0.560000,0.228705,0.313315,0.026111,0.239114,-0.344430,0.070441
0.580000,0.235886,0.311551,0.021356,0.242677,-0.343977,0.072628
0.600000,0.240983,0.309185,0.013107,0.246223,-0.343171,0.074854
0.620000,0.243227,0.306152,0.004567,0.249234,-0.342563,0.077326
0.640000,0.241759,0.303893,-0.002640,0.252743,-0.341399,0.079986
