time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,0.117329,0.288538,-0.105746,0.281861,-0.279534,-0.112151
0.020000,0.117287,0.287439,-0.106757,0.282154,-0.279954,-0.111110
0.040000,0.117700,0.287016,-0.107624,0.282730,-0.280394,-0.109636
0.060000,0.118734,0.287091,-0.108302,0.283332,-0.280782,-0.107877
0.080000,0.120184,0.287315,-0.108895,0.283933,-0.281056,-0.106133
0.100000,0.121713,0.287384,-0.109709,0.284553,-0.281254,-0.104535
0.120000,0.122834,0.287107,-0.110795,0.285030,-0.281558,-0.103172
0.140000,0.123956,0.286609,-0.111868,0.285970,-0.281708,-0.101713
0.160000,0.124788,0.286099,-0.112741,0.287111,-0.281817,-0.100324
0.180000,0.125277,0.285656,-0.113398,0.288233,-0.281861,-0.099324
0.200000,0.125796,0.285549,-0.113819,0.288987,-0.281981,-0.098513
0.220000,0.126282,0.285703,-0.114006,0.289391,-0.282034,-0.098001
0.240000,0.126625,0.285991,-0.113979,0.289471,-0.282137,-0.097714
0.260000,0.126742,0.286428,-0.113842,0.289463,-0.282082,-0.097870
0.280000,0.126825,0.286848,-0.113599,0.289320,-0.282080,-0.098094
0.300000,0.126761,0.287193,-0.113346,0.289133,-0.282063,-0.098443
0.320000,0.126635,0.287381,-0.113181,0.288817,-0.282143,-0.098706
0.340000,0.126385,0.287450,-0.113107,0.288316,-0.282241,-0.098971
0.360000,0.126177,0.287461,-0.113072,0.287604,-0.282429,-0.099226
0.380000,0.125813,0.287429,-0.112986,0.286698,-0.282564,-0.099758
0.400000,0.125286,0.287360,-0.112892,0.285315,-0.282805,-0.100571
0.420000,0.124448,0.287221,-0.112709,0.283636,-0.282996,-0.101747
0.440000,0.123329,0.286967,-0.112430,0.281453,-0.283256,-0.103243
0.460000,0.121860,0.286469,-0.112120,0.278845,-0.283524,-0.104979
0.480000,0.120318,0.285735,-0.112053,0.275777,-0.283969,-0.106911
0.500000,0.118781,0.284776,-0.111991,0.272488,-0.284485,-0.108764
0.520000,0.117518,0.283817,-0.112053,0.269669,-0.284970,-0.110247
0.540000,0.116668,0.283124,-0.112093,0.267652,-0.285618,-0.111220
0.560000,0.116227,0.282797,-0.112179,0.266337,-0.286320,-0.111817
0.580000,0.115999,0.282693,-0.112365,0.265438,-0.286981,-0.112392
0.600000,0.115825,0.282767,-0.112426,0.264500,-0.287546,-0.113281
0.620000,0.115369,0.282864,-0.112181,0.263258,-0.287930,-0.114495
0.640000,0.114824,0.283059,-0.111744,0.261620,-0.288234,-0.115996
0.660000,0.114156,0.283448,-0.110971,0.259731,-0.288408,-0.117724
0.680000,0.113654,0.283972,-0.110146,0.257543,-0.288668,-0.119371
0.700000,0.113424,0.284346,-0.109673,0.255753,-0.288994,-0.120594
0.720000,0.113402,0.284575,-0.109421,0.254230,-0.289440,-0.121601
0.740000,0.113258,0.284774,-0.108885,0.253087,-0.289882,-0.122358
0.760000,0.113079,0.284867,-0.108295,0.252042,-0.290426,-0.123166
0.780000,0.112909,0.284991,-0.107799,0.250996,-0.291176,-0.123961
0.800000,0.112995,0.285069,-0.107576,0.249655,-0.292305,-0.124390
0.820000,0.112998,0.285245,-0.107359,0.247906,-0.293811,-0.123953
0.840000,0.113106,0.285785,-0.106658,0.246122,-0.295290,-0.123151
0.860000,0.113154,0.286559,-0.105676,0.244503,-0.296652,-0.122000
0.880000,0.113191,0.287450,-0.104201,0.242765,-0.298088,-0.120419
0.900000,0.113103,0.288453,-0.102577,0.240612,-0.299815,-0.118065
0.920000,0.112950,0.289626,-0.100689,0.238115,-0.301599,-0.115241
0.940000,0.112797,0.290809,-0.098754,0.235753,-0.303194,-0.112210
0.960000,0.112756,0.291827,-0.096995,0.233722,-0.304452,-0.109387
0.980000,0.112893,0.292439,-0.095820,0.232261,-0.305164,-0.107278
1.000000,0.113060,0.292591,-0.095075,0.232248,-0.305218,-0.105790
1.020000,0.113227,0.292412,-0.094707,0.233500,-0.304790,-0.104975
1.040000,0.113352,0.292084,-0.094600,0.235877,-0.304059,-0.104507
1.060000,0.113855,0.291796,-0.094844,0.238907,-0.303154,-0.103977
1.080000,0.114546,0.291794,-0.094929,0.242111,-0.302092,-0.103109
1.100000,0.115516,0.291754,-0.095487,0.244326,-0.301369,-0.102296
1.120000,0.116534,0.291837,-0.095893,0.246070,-0.300825,-0.101603
