time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0,0.151167,NaN,-0.110365,0.084014,-0.265501,NaN
0.02,0.150967,NaN,-0.110358,0.083736,-0.265288,NaN
0.04,0.150812,NaN,-0.110497,0.08328,-0.264856,NaN
0.06,0.150752,NaN,-0.110604,0.082727,-0.264455,NaN
0.08,0.150657,NaN,-0.110823,0.082312,-0.264141,NaN
0.1,NaN,NaN,NaN,0.081829,-0.263829,NaN
0.12,0.150331,NaN,-0.110918,0.081175,-0.263353,NaN
0.14,0.149991,NaN,-0.110783,0.080565,-0.262839,NaN
0.16,0.149707,NaN,-0.110684,0.080149,-0.262499,NaN
0.18,0.14942,NaN,-0.110537,0.079768,-0.262209,NaN
0.2,0.149092,NaN,-0.110532,0.079406,-0.261928,NaN
0.22,0.148754,NaN,-0.110757,0.079002,-0.261571,NaN
0.24,NaN,NaN,NaN,0.078587,-0.261203,NaN
0.26,0.148574,NaN,-0.112888,0.078015,-0.261004,NaN
0.28,0.148834,NaN,-0.114348,0.077414,-0.260966,NaN
0.3,0.149434,NaN,-0.116102,0.076684,-0.261063,NaN
0.32,0.149636,NaN,-0.118314,0.076174,-0.26128,NaN
0.34,0.149274,NaN,-0.120655,0.076589,-0.262181,NaN
0.36,0.148343,NaN,-0.123149,0.077593,-0.262906,NaN
0.38,0.146852,NaN,-0.125113,0.078273,-0.262431,NaN
0.4,0.145531,NaN,-0.126081,0.07819,-0.261111,NaN
0.42,0.14548,NaN,-0.126363,0.077809,-0.260289,NaN
0.44,0.146384,NaN,-0.126568,0.078072,-0.260852,NaN
0.46,0.146886,NaN,-0.127078,0.078916,-0.261782,NaN
0.48,0.146245,NaN,-0.127607,NaN,NaN,NaN
0.5,0.145486,NaN,-0.12784,0.079697,-0.262361,NaN
0.52,0.145008,NaN,-0.127862,0.079967,-0.262454,NaN
0.54,0.144759,NaN,-0.127668,0.080077,-0.262485,NaN
0.56,0.144571,NaN,-0.12745,0.080026,-0.262347,NaN
0.58,0.14469,NaN,-0.127058,0.079822,-0.262151,NaN
0.6,0.144999,NaN,-0.126959,0.079661,-0.261944,NaN
0.62,0.145582,NaN,-0.126895,0.079534,-0.261726,NaN
0.64,0.146227,NaN,-0.12664,0.079365,-0.261579,NaN
0.66,NaN,NaN,NaN,0.079291,-0.261512,NaN
0.68,0.147805,NaN,-0.125988,NaN,NaN,NaN
0.7,0.148351,NaN,-0.125351,0.079563,-0.261626,NaN
0.72,0.148747,NaN,-0.124708,NaN,NaN,NaN
0.74,0.149039,NaN,-0.124181,0.079424,-0.261823,NaN
0.76,0.149228,NaN,-0.123226,0.079094,-0.261836,NaN
0.78,0.149584,NaN,-0.121742,0.078611,-0.261876,NaN
0.8,0.150217,NaN,-0.119763,0.078248,-0.262043,NaN
0.82,0.151022,NaN,-0.117643,0.078032,-0.262262,NaN
